name,docket,claim
"BMW of North America, Inc. v. Gore",94-896,The U.S. Constitution stops states from giving punitive damages that are unreasonably high.
"BMW of North America, Inc. v. Gore",94-896,Punitive damages that are many times higher than the actual harm may be unconstitutional.
"BMW of North America, Inc. v. Gore",94-896,"If the actual harm is small, a large punitive award is likely unconstitutional."
"BMW of North America, Inc. v. Gore",94-896,Punitive damages that are much higher than any legal fines for similar behavior may be unconstitutional.
"BMW of North America, Inc. v. Gore",94-896,"Defendants must know the possible punishment for their actions; otherwise, the punishment is unconstitutional."
"Board of County Commissioners, Wabaunsee County, Kansas v. Umbehr",94-1654,Government agencies cannot terminate contracts or employment just because someone criticized their policies on public issues.
"Board of County Commissioners, Wabaunsee County, Kansas v. Umbehr",94-1654,The government must prove the speech interfered with work before taking action against someone for speaking about public concerns.
"Board of County Commissioners, Wabaunsee County, Kansas v. Umbehr",94-1654,People can criticize government actions on public matters without being punished by the government.
"National Labor Relations Board v. Town & Country Electric, Inc.",94-947,Federal labor law considers workers as employees even if they are paid by a union to organize a company.
"National Labor Relations Board v. Town & Country Electric, Inc.",94-947,Workers do not need to be paid by the company they work for to be covered under federal labor law.
"National Labor Relations Board v. Town & Country Electric, Inc.",94-947,"Employers cannot refuse to hire or fire workers because they are organizing a union, even if the union pays them."
United States v. Chesapeake & Potomac Telephone Co. of Va.,94-1893,Government restrictions on communication must be designed to only fix the problem without affecting more communication than necessary.
United States v. Chesapeake & Potomac Telephone Co. of Va.,94-1893,Any law that limits how people communicate must leave other ways for people to share information available.
Doctor's Associates Inc. v. Casarotto,95-559,States cannot create rules that apply only to arbitration agreements and not to other contracts.
Doctor's Associates Inc. v. Casarotto,95-559,Federal law requires that arbitration agreements be treated equally with all other contracts.
Doctor's Associates Inc. v. Casarotto,95-559,States cannot require special formatting or placement for arbitration clauses that they don't require for other contract terms.
Lane v. Peña,95-365,The federal government cannot be sued for money damages unless Congress has clearly stated that such lawsuits are permitted.
Lane v. Peña,95-365,Courts cannot order the federal government to pay money damages without clear permission from Congress.
Felker v. Turpin,95-8836,"Congress can require that second habeas petitions be reviewed by an appellate panel, and the Supreme Court cannot review that panel's decision."
Felker v. Turpin,95-8836,"The Supreme Court can still hear new habeas petitions directly, even if it cannot review decisions about second petitions from lower courts."
Felker v. Turpin,95-8836,Changing which court reviews habeas petitions does not violate the Constitution as long as the Supreme Court can still hear new habeas cases.
United States v. Ursery,95-345,Civil property forfeitures are not considered punishment under the Fifth Amendment's double jeopardy clause.
United States v. Ursery,95-345,"Civil forfeitures are meant to address illegal property use, not to punish the owner."
United States v. Ursery,95-345,The government can pursue civil forfeiture after a criminal conviction for the same activity.
United States v. Ursery,95-345,"Double jeopardy protections only apply to criminal punishments, not civil property forfeitures."
Tuggle v. Netherland,95-6016,"When the prosecution presents evidence that the defendant might commit more crimes in the future, the defendant must be given an independent psychiatrist to review that evidence."
Tuggle v. Netherland,95-6016,"If the trial was unfair due to a major mistake, the death sentence must be overturned even if there are other reasons why the crime was especially bad."
Tuggle v. Netherland,95-6016,A single reason why the crime was especially bad is not enough to justify a death sentence if the trial process was fundamentally unfair.
United States  v. Noland,95-323,Tax penalties must be paid at the same priority as taxes and interest in bankruptcy cases.
United States  v. Noland,95-323,Whether a tax penalty is considered a financial loss does not change its priority in bankruptcy.
United States  v. Noland,95-323,Bankruptcy courts cannot reduce the priority of tax penalties based on whether they are financial losses.
